City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Nome,US,2020-05-23 05:15:11,64.5,-165.41,53.01,66,20,8.05
262,Westerland,DE,2020-05-23 05:18:57,54.91,8.3,53.6,81,99,13.87
263,Hohhot,CN,2020-05-23 05:18:57,40.81,111.65,55.4,50,75,13.42
264,Iwanai,JP,2020-05-23 05:18:57,42.97,140.51,62.56,63,98,3.74
265,Zlocieniec,PL,2020-05-23 05:18:58,53.53,16.01,46.0,88,100,12.55
266,Makakilo City,US,2020-05-23 05:18:58,21.35,-158.09,78.8,61,1,8.05
267,Talnakh,RU,2020-05-23 05:17:27,69.49,88.4,69.8,35,18,11.18
268,San Cristobal,VE,2020-05-23 05:18:58,7.77,-72.22,66.67,89,100,3.56
269,Hurghada,EG,2020-05-23 05:18:58,27.26,33.81,82.4,34,10,10.29
270,Vallenar,CL,2020-05-23 05:18:58,-28.57,-70.76,52.63,52,89,1.7
271,Tuatapere,NZ,2020-05-23 05:16:51,-46.13,167.68,50.36,79,97,1.03
272,Calama,CL,2020-05-23 05:17:32,-22.47,-68.93,44.6,12,0,21.92
273,Syedove,UA,2020-05-23 05:18:59,47.08,38.16,51.01,100,100,5.99
274,Saskylakh,RU,2020-05-23 05:16:22,71.92,114.08,51.21,81,100,10.27
275,Fortuna,US,2020-05-23 05:16:23,40.6,-124.16,53.01,93,1,8.05
276,Hasaki,JP,2020-05-23 05:17:32,35.73,140.83,73.4,69,40,12.75
277,Bennettsville,US,2020-05-23 05:18:59,34.62,-79.68,66.0,100,90,6.31
278,Takab,IR,2020-05-23 05:18:59,36.4,47.11,70.83,25,0,7.16
279,Port Lincoln,AU,2020-05-23 05:15:03,-34.73,135.87,58.15,69,95,16.28
280,Macklin,CA,2020-05-23 05:19:00,52.33,-109.93,43.23,85,100,13.67
281,Kabale,UG,2020-05-23 05:19:00,-1.25,29.99,57.65,88,93,2.8
282,Kaitangata,NZ,2020-05-23 05:16:54,-46.28,169.85,50.0,79,86,1.99
283,Luderitz,NA,2020-05-23 05:19:00,-26.65,15.16,55.4,82,0,8.05
284,Peachland,CA,2020-05-23 05:19:00,49.77,-119.74,51.8,71,90,8.05
285,Leo,BF,2020-05-23 05:19:00,11.1,-2.1,78.89,73,7,5.28
286,Port Macquarie,AU,2020-05-23 05:16:21,-31.43,152.92,68.0,57,4,1.99
287,Eureka,US,2020-05-23 05:17:06,40.8,-124.16,55.0,74,0,5.01
288,Bubaque,GW,2020-05-23 05:16:48,11.28,-15.83,77.85,81,21,13.67
289,Yeppoon,AU,2020-05-23 05:16:23,-23.13,150.73,53.6,87,90,2.24
290,Srednekolymsk,RU,2020-05-23 05:17:11,67.45,153.68,39.49,65,99,6.8
291,Necochea,AR,2020-05-23 05:16:40,-38.55,-58.74,50.0,83,11,1.01
292,Portland,US,2020-05-23 05:14:06,45.52,-122.68,54.0,62,20,5.79
293,Coquimbo,CL,2020-05-23 05:17:27,-29.95,-71.34,51.8,81,45,4.7
294,Kotelnikovo,RU,2020-05-23 05:19:01,47.63,43.15,50.31,92,100,17.43
295,Los Llanos De Aridane,ES,2020-05-23 05:16:50,28.66,-17.92,66.2,77,48,13.87
296,Meulaboh,ID,2020-05-23 05:16:38,4.14,96.13,83.14,70,100,1.36
297,Hailar,CN,2020-05-23 05:16:22,49.2,119.7,64.11,31,95,9.75
298,Salalah,OM,2020-05-23 05:17:30,17.02,54.09,87.8,70,20,1.12
299,Wakkanai,JP,2020-05-23 05:19:02,45.41,141.67,60.8,63,75,14.99
300,Bar-Le-Duc,FR,2020-05-23 05:19:02,48.75,5.17,57.2,87,100,2.24
301,Mutata,CO,2020-05-23 05:19:02,7.24,-76.44,76.91,86,97,1.39
302,Pervomayskiy,RU,2020-05-23 05:19:02,53.25,40.29,50.27,75,24,6.17
303,Corpus Christi,US,2020-05-23 05:17:00,27.8,-97.4,82.4,94,75,12.75
304,Tabou,CI,2020-05-23 05:19:02,4.42,-7.35,78.69,85,47,6.22
